# mode: 0
# n_modes: 20
# index_normalization:   4.74323422e+00
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,iod_index
1994-06-01,  7.72332722e-02
1994-07-01,  6.96111477e-01
1994-08-01,  1.09270626e+00
1994-09-01,  1.17457842e+00
1994-10-01,  2.86336891e+00
1994-11-01,  4.72220553e-01
1994-12-01, -2.90366645e-01
1995-01-01, -1.28523026e-01
1995-02-01,  6.34203609e-02
1995-03-01,  3.18561054e-01
1995-04-01, -4.94964136e-02
1995-05-01,  3.87774048e-01
1995-06-01,  1.20115744e+00
1995-07-01,  1.07893640e-01
1995-08-01,  2.19457810e-02
1995-09-01, -1.68386121e-01
1995-10-01, -6.97874908e-01
1995-11-01, -1.11944445e+00
1995-12-01,  7.03648371e-02
1996-01-01,  3.44730596e-01
1996-02-01,  3.82592459e-01
1996-03-01, -7.42776173e-02
1996-04-01, -4.57034389e-01
1996-05-01, -9.20034571e-02
1996-06-01,  2.93656699e-01
1996-07-01, -8.23597616e-01
1996-08-01, -1.70965962e+00
1996-09-01, -1.56062195e+00
1996-10-01, -3.02795959e+00
1996-11-01, -1.78215501e+00
1996-12-01, -5.84082709e-01
1997-01-01, -9.09500223e-02
1997-02-01, -1.16419804e+00
1997-03-01, -9.74390103e-02
1997-04-01,  2.30361887e-01
1997-05-01,  1.10830966e-01
1997-06-01,  8.57889640e-01
1997-07-01,  1.29800480e+00
1997-08-01,  1.44120956e+00
1997-09-01,  2.07211004e+00
1997-10-01,  3.45077814e+00
1997-11-01,  4.09466553e+00
1997-12-01,  3.53395873e+00
1998-01-01,  3.54721674e+00
1998-02-01,  2.68077831e+00
1998-03-01,  2.02064727e+00
1998-04-01,  1.84184542e+00
1998-05-01,  2.40816548e+00
1998-06-01,  2.23485253e+00
1998-07-01,  1.88537472e-01
1998-08-01, -3.04881367e-01
1998-09-01, -8.46326366e-01
1998-10-01, -1.72854366e+00
1998-11-01, -1.55873984e+00
1998-12-01, -1.37665107e+00
1999-01-01, -8.04489347e-01
1999-02-01, -5.29057688e-01
1999-03-01, -1.85087637e-01
1999-04-01, -4.35318819e-01
1999-05-01, -1.45507000e+00
1999-06-01, -1.17025953e+00
1999-07-01,  1.01977362e-01
1999-08-01, -2.69284405e-01
1999-09-01, -5.71238176e-01
1999-10-01, -9.05214126e-01
1999-11-01, -1.70434859e-01
1999-12-01, -2.04233381e-01
2000-01-01,  2.28272751e-01
2000-02-01, -1.35686183e-01
2000-03-01, -7.96950590e-01
2000-04-01, -6.81289553e-01
2000-05-01, -3.39876161e-01
2000-06-01, -5.95518963e-01
2000-07-01, -7.41244684e-02
2000-08-01,  5.72831629e-01
2000-09-01,  1.71132762e-01
2000-10-01,  1.10383620e-01
2000-11-01,  2.68386443e-02
2000-12-01,  1.92070778e-01
2001-01-01,  1.21908247e-01
2001-02-01,  2.11476377e-01
2001-03-01,  4.95652493e-01
2001-04-01,  5.71804506e-01
2001-05-01,  7.31999285e-01
2001-06-01,  3.28273216e-01
2001-07-01,  2.82358637e-03
2001-08-01,  2.36490191e-02
2001-09-01,  2.61386155e-01
2001-10-01,  1.18394708e-01
2001-11-01,  4.77578484e-01
2001-12-01,  1.16142697e+00
2002-01-01,  1.13991812e+00
2002-02-01,  3.13438253e-01
2002-03-01,  2.56128057e-01
2002-04-01,  4.12545068e-01
2002-05-01,  8.05608457e-02
2002-06-01,  7.04185545e-01
2002-07-01,  6.80659124e-01
2002-08-01,  3.05862794e-01
2002-09-01,  8.81199787e-01
2002-10-01,  1.69472054e+00
2002-11-01,  1.47814513e+00
2002-12-01,  1.25695475e+00
2003-01-01,  1.01997823e+00
2003-02-01,  8.93460024e-01
2003-03-01,  8.67034423e-01
2003-04-01,  1.23064635e+00
