# mode: 0
# n_modes: 10
# loading_pattern_sst_input_file: nnr1.skt.sfc.gauss.19480101_20191231.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_mslp_input_file: nnr1.slp.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_uwnd_input_file: nnr1.uwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_vwnd_input_file: nnr1.vwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_olr_input_file: nnr1.ulwrf.ntat.gauss.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_sst_anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_mslp_anomalies_input_file: nnr1.slp.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_uwnd_anomalies_input_file: nnr1.uwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_vwnd_anomalies_input_file: nnr1.vwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_olr_anomalies_input_file: nnr1.ulwrf.ntat.gauss.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,mei
1966-04-01,  1.46441110e-01
1966-05-01, -9.89728852e-02
1966-06-01,  2.03750597e-01
1966-07-01,  5.36745186e-01
1966-08-01,  5.37964166e-01
1966-09-01,  1.22406205e-01
1966-10-01,  1.10614472e-01
1966-11-01,  1.64974966e-01
1966-12-01,  6.85346798e-02
1967-01-01, -3.48072452e-01
1967-02-01, -6.76713907e-01
1967-03-01, -9.42130163e-01
1967-04-01, -9.71812672e-01
1967-05-01, -7.86694140e-01
1967-06-01, -1.31052227e-01
1967-07-01,  1.55036853e-03
1967-08-01,  1.57166914e-01
1967-09-01, -1.33406028e-01
1967-10-01, -3.52634245e-01
1967-11-01, -1.63710857e-01
1967-12-01, -3.65856561e-02
1968-01-01, -2.30452482e-01
1968-02-01, -3.72444974e-01
1968-03-01, -5.67391399e-01
1968-04-01, -9.48456940e-01
1968-05-01, -8.61925387e-01
1968-06-01, -2.75133873e-01
1968-07-01, -3.30482055e-02
1968-08-01,  2.58028785e-01
1968-09-01,  6.02145081e-01
1968-10-01,  4.83759760e-01
1968-11-01,  5.58875975e-01
1968-12-01,  3.95827656e-01
1969-01-01,  6.30166988e-01
1969-02-01,  6.53056411e-01
1969-03-01,  9.38775642e-02
1969-04-01,  7.72636985e-02
1969-05-01,  4.52507480e-01
1969-06-01,  9.02155958e-01
1969-07-01,  5.82514289e-01
1969-08-01,  3.22849201e-01
1969-09-01,  3.26351206e-01
1969-10-01,  4.87938032e-01
1969-11-01,  4.83081829e-01
1969-12-01,  3.77107758e-01
1970-01-01,  2.28956486e-01
1970-02-01,  1.95679547e-01
1970-03-01,  3.01651395e-02
1970-04-01, -1.62312821e-01
1970-05-01, -3.42435252e-01
1970-06-01, -5.21761175e-01
1970-07-01, -7.43175210e-01
1970-08-01, -8.44460227e-01
1970-09-01, -8.97636116e-01
1970-10-01, -1.06852394e+00
1970-11-01, -1.14902770e+00
1970-12-01, -9.49521044e-01
1971-01-01, -9.37711542e-01
1971-02-01, -1.10935437e+00
1971-03-01, -1.40606266e+00
1971-04-01, -1.60829897e+00
1971-05-01, -1.63183352e+00
1971-06-01, -1.05860545e+00
1971-07-01, -4.72243534e-01
1971-08-01, -6.23929819e-01
1971-09-01, -1.12540754e+00
1971-10-01, -1.10937432e+00
1971-11-01, -9.19803482e-01
1971-12-01, -5.60540463e-01
1972-01-01, -3.17126060e-01
1972-02-01, -3.50905308e-01
1972-03-01, -4.11645944e-01
1972-04-01, -2.46655309e-01
1972-05-01,  8.08190458e-02
1972-06-01,  1.32722733e+00
1972-07-01,  1.79465778e+00
1972-08-01,  1.63273932e+00
1972-09-01,  1.30001062e+00
1972-10-01,  1.26792400e+00
1972-11-01,  1.31820058e+00
1972-12-01,  1.41413511e+00
1973-01-01,  1.18322797e+00
1973-02-01,  9.31785680e-01
1973-03-01,  4.96846915e-01
1973-04-01,  6.85243295e-02
1973-05-01, -2.15646822e-01
1973-06-01, -7.37450692e-01
1973-07-01, -1.00175667e+00
1973-08-01, -1.19327131e+00
1973-09-01, -1.64757330e+00
1973-10-01, -1.75297601e+00
1973-11-01, -1.58227893e+00
1973-12-01, -1.55582943e+00
1974-01-01, -1.47552484e+00
1974-02-01, -1.35681040e+00
1974-03-01, -1.45266872e+00
1974-04-01, -1.35155506e+00
1974-05-01, -1.16572260e+00
1974-06-01, -8.15396479e-01
1974-07-01, -7.27795983e-01
1974-08-01, -3.98619201e-01
1974-09-01, -4.69074736e-01
1974-10-01, -9.77118454e-01
1974-11-01, -9.62761752e-01
1974-12-01, -5.87740240e-01
1975-01-01, -3.37338881e-01
1975-02-01, -3.82175493e-01
1975-03-01, -5.63849452e-01
1975-04-01, -6.45250356e-01
1975-05-01, -9.83059624e-01
1975-06-01, -1.24807737e+00
1975-07-01, -1.31402746e+00
1975-08-01, -1.49656464e+00
1975-09-01, -1.79698262e+00
1975-10-01, -1.94215762e+00
1975-11-01, -1.60388305e+00
1975-12-01, -1.43190654e+00
1976-01-01, -1.16361580e+00
1976-02-01, -1.01375775e+00
1976-03-01, -1.05616639e+00
1976-04-01, -9.28012465e-01
1976-05-01, -8.45260698e-01
1976-06-01, -2.88538722e-01
1976-07-01,  4.49000425e-01
1976-08-01,  5.02680657e-01
1976-09-01,  7.41985390e-01
1976-10-01,  7.39734787e-01
1976-11-01,  4.17772499e-01
1976-12-01,  4.97789121e-01
1977-01-01,  4.48512962e-01
1977-02-01,  1.83047367e-01
1977-03-01, -1.02758974e-01
1977-04-01, -4.35182184e-02
1977-05-01, -1.73337016e-03
1977-06-01,  2.84210119e-01
1977-07-01,  6.75892162e-01
1977-08-01,  6.05272530e-01
1977-09-01,  5.39315187e-01
1977-10-01,  7.38409315e-01
1977-11-01,  7.08186610e-01
1977-12-01,  7.96976983e-01
1978-01-01,  4.92960013e-01
1978-02-01,  4.35683421e-01
1978-03-01,  4.97548284e-01
1978-04-01, -9.51794146e-02
1978-05-01, -4.87322445e-01
1978-06-01, -3.95660945e-01
1978-07-01, -1.31684625e-01
1978-08-01,  5.80263527e-02
1978-09-01, -2.19547442e-01
1978-10-01, -1.29555139e-01
1978-11-01,  1.76662534e-01
1978-12-01,  2.02259456e-01
1979-01-01,  3.03020037e-01
1979-02-01,  1.56587310e-01
1979-03-01, -1.28117629e-01
1979-04-01,  7.06484026e-02
1979-05-01,  1.13722140e-01
1979-06-01, -3.21717248e-02
1979-07-01, -1.18737184e-01
1979-08-01,  3.50407469e-01
1979-09-01,  3.95474795e-01
1979-10-01,  2.76950358e-01
1979-11-01,  6.35655344e-01
1979-12-01,  7.65153243e-01
1980-01-01,  4.01896898e-01
1980-02-01,  2.95684426e-01
1980-03-01,  2.93993200e-01
1980-04-01,  2.10910895e-01
1980-05-01,  3.82972863e-01
1980-06-01,  7.92151299e-01
1980-07-01,  6.68318768e-01
1980-08-01,  8.51196804e-02
1980-09-01, -8.02253287e-02
1980-10-01, -1.31232319e-01
1980-11-01, -1.28789566e-01
1980-12-01, -6.58797877e-02
1981-01-01, -3.73696551e-01
1981-02-01, -3.67704299e-01
1981-03-01, -7.44112456e-02
1981-04-01, -1.79636693e-02
1981-05-01, -3.77921912e-01
1981-06-01, -4.99589329e-01
1981-07-01, -4.65497530e-01
1981-08-01, -3.66799946e-01
1981-09-01, -1.56571384e-01
1981-10-01, -2.05233712e-01
1981-11-01, -1.51426179e-01
1981-12-01, -1.86522416e-01
1982-01-01, -4.17709000e-01
1982-02-01, -4.37932712e-01
1982-03-01, -4.64216132e-01
1982-04-01, -6.11495356e-01
1982-05-01, -1.07166635e-01
1982-06-01,  1.18248923e+00
1982-07-01,  1.82845412e+00
1982-08-01,  1.90868804e+00
1982-09-01,  1.57010169e+00
1982-10-01,  1.82343266e+00
1982-11-01,  2.22507404e+00
1982-12-01,  2.38152010e+00
1983-01-01,  2.48176558e+00
1983-02-01,  2.61147730e+00
1983-03-01,  2.64630009e+00
1983-04-01,  2.56228841e+00
1983-05-01,  2.38535219e+00
1983-06-01,  1.06425837e+00
1983-07-01,  4.39718480e-01
1983-08-01, -7.62579791e-02
1983-09-01, -5.77741579e-01
1983-10-01, -5.85182284e-01
1983-11-01, -4.99895619e-01
1983-12-01, -4.43623397e-01
1984-01-01, -4.53098505e-01
1984-02-01, -5.12034720e-01
1984-03-01, -3.35310156e-01
1984-04-01, -1.75591842e-01
1984-05-01, -5.79434310e-01
1984-06-01, -7.32188707e-01
1984-07-01, -4.31462519e-01
1984-08-01, -1.57453728e-01
1984-09-01, -1.55604408e-01
1984-10-01, -2.08447950e-01
1984-11-01, -6.69931065e-01
1984-12-01, -4.56963110e-01
1985-01-01, -4.51138899e-01
1985-02-01, -7.13993424e-01
1985-03-01, -9.87358824e-01
1985-04-01, -1.12614151e+00
1985-05-01, -1.23369414e+00
1985-06-01, -2.36853378e-01
1985-07-01, -1.42650927e-02
1985-08-01, -4.29957056e-01
1985-09-01, -5.18106511e-01
1985-10-01, -1.55792208e-01
1985-11-01, -1.06460162e-01
1985-12-01, -4.38559700e-01
1986-01-01, -4.28815624e-01
1986-02-01, -3.86015956e-01
1986-03-01, -3.99341214e-01
1986-04-01, -6.91600415e-01
1986-05-01, -5.40997868e-01
1986-06-01,  1.99610070e-01
1986-07-01,  5.76558401e-01
1986-08-01,  1.07755012e+00
1986-09-01,  1.39433967e+00
1986-10-01,  5.53102673e-01
1986-11-01,  6.20466253e-01
1986-12-01,  8.77817965e-01
1987-01-01,  7.44885919e-01
1987-02-01,  8.58854469e-01
1987-03-01,  1.09002104e+00
1987-04-01,  1.19665837e+00
1987-05-01,  1.41744153e+00
1987-06-01,  1.52712847e+00
1987-07-01,  1.52662977e+00
1987-08-01,  1.41435418e+00
1987-09-01,  1.25515475e+00
1987-10-01,  1.09724256e+00
1987-11-01,  8.79846473e-01
1987-12-01,  7.37155160e-01
1988-01-01,  4.69999225e-01
1988-02-01,  1.43025471e-01
1988-03-01, -7.66194404e-02
1988-04-01, -2.96471968e-01
1988-05-01, -5.85178837e-01
1988-06-01, -1.22305793e+00
1988-07-01, -1.59157111e+00
1988-08-01, -1.77356001e+00
1988-09-01, -1.89753075e+00
1988-10-01, -1.57391783e+00
1988-11-01, -1.75096585e+00
1988-12-01, -1.67154304e+00
1989-01-01, -1.32068042e+00
1989-02-01, -1.19897892e+00
1989-03-01, -1.17851123e+00
1989-04-01, -1.19028161e+00
1989-05-01, -1.17260275e+00
1989-06-01, -9.76066872e-01
1989-07-01, -1.12414568e+00
1989-08-01, -8.20794849e-01
1989-09-01, -5.43539755e-01
1989-10-01, -5.41327707e-01
1989-11-01, -4.06110603e-01
1989-12-01, -2.57699844e-01
1990-01-01, -7.95679611e-02
1990-02-01,  1.16305550e-02
1990-03-01,  5.14671448e-02
1990-04-01, -1.91946436e-01
1990-05-01, -6.46064978e-02
1990-06-01,  1.56597908e-01
1990-07-01,  8.09169273e-02
1990-08-01,  8.79236393e-02
1990-09-01,  3.68978122e-01
1990-10-01,  3.07203281e-02
1990-11-01,  9.36104378e-02
1990-12-01,  1.47004464e-01
1991-01-01, -4.67358725e-02
1991-02-01, -9.75485108e-02
1991-03-01, -1.31943225e-01
1991-04-01, -2.65700010e-01
1991-05-01,  1.16518266e-01
1991-06-01,  8.09085759e-01
1991-07-01,  7.81087156e-01
1991-08-01,  4.50965990e-01
1991-09-01,  7.31132180e-01
1991-10-01,  1.04733896e+00
1991-11-01,  1.05915973e+00
1991-12-01,  1.03802310e+00
1992-01-01,  1.40876648e+00
1992-02-01,  1.30736946e+00
1992-03-01,  1.42812792e+00
1992-04-01,  1.56257589e+00
1992-05-01,  1.27752888e+00
1992-06-01,  1.37346834e+00
1992-07-01,  8.16818067e-01
1992-08-01,  1.90158481e-01
1992-09-01,  5.56948872e-01
1992-10-01,  8.75114478e-01
1992-11-01,  7.47055349e-01
1992-12-01,  6.42938123e-01
1993-01-01,  6.84574309e-01
1993-02-01,  7.23551451e-01
1993-03-01,  5.44233710e-01
1993-04-01,  6.08124547e-01
1993-05-01,  1.10058118e+00
1993-06-01,  9.77498771e-01
1993-07-01,  7.00721438e-01
1993-08-01,  5.36824152e-01
1993-09-01,  5.00396928e-01
1993-10-01,  8.28727906e-01
1993-11-01,  6.52566899e-01
1993-12-01,  2.77100338e-01
1994-01-01, -4.51924654e-02
1994-02-01, -2.42711473e-01
1994-03-01, -3.45542653e-01
1994-04-01, -2.56435040e-01
1994-05-01, -1.48228494e-01
1994-06-01,  3.86000230e-01
1994-07-01,  9.01560999e-01
1994-08-01,  8.27809873e-01
1994-09-01,  9.83719013e-01
1994-10-01,  1.42177407e+00
1994-11-01,  8.40096327e-01
1994-12-01,  7.56900437e-01
1995-01-01,  7.22017559e-01
1995-02-01,  5.13312438e-01
1995-03-01,  1.86754722e-01
1995-04-01, -4.18705060e-02
1995-05-01,  3.72078512e-02
1995-06-01, -7.10837690e-02
1995-07-01, -1.57018882e-01
1995-08-01, -5.08115920e-01
1995-09-01, -9.92507680e-01
1995-10-01, -8.54689540e-01
1995-11-01, -8.69198587e-01
1995-12-01, -1.05361271e+00
1996-01-01, -1.01709793e+00
1996-02-01, -9.18480981e-01
1996-03-01, -8.78892241e-01
1996-04-01, -8.51133290e-01
1996-05-01, -9.74849782e-01
1996-06-01, -1.26276688e+00
1996-07-01, -8.90201784e-01
1996-08-01, -7.26828627e-01
1996-09-01, -4.79508458e-01
1996-10-01, -6.21285518e-01
1996-11-01, -4.15358631e-01
1996-12-01, -5.54943613e-01
1997-01-01, -7.67847205e-01
1997-02-01, -6.76778413e-01
1997-03-01, -5.65477143e-01
1997-04-01, -3.70123388e-01
1997-05-01,  1.83204106e-01
1997-06-01,  1.38585584e+00
1997-07-01,  1.24475248e+00
1997-08-01,  1.74858512e+00
1997-09-01,  1.72525987e+00
1997-10-01,  1.61439801e+00
1997-11-01,  1.73665526e+00
1997-12-01,  1.73022319e+00
1998-01-01,  1.92576805e+00
1998-02-01,  2.23737944e+00
1998-03-01,  2.28886352e+00
1998-04-01,  2.30674591e+00
1998-05-01,  1.89901813e+00
1998-06-01, -5.10249792e-01
1998-07-01, -1.93258190e+00
1998-08-01, -2.18846669e+00
1998-09-01, -1.86380226e+00
1998-10-01, -1.70670467e+00
1998-11-01, -1.54441532e+00
1998-12-01, -1.36077574e+00
1999-01-01, -1.38240077e+00
1999-02-01, -1.19110275e+00
1999-03-01, -1.07001391e+00
1999-04-01, -1.08834136e+00
1999-05-01, -1.46322770e+00
1999-06-01, -1.83425875e+00
1999-07-01, -1.58653602e+00
1999-08-01, -1.38701905e+00
1999-09-01, -1.44748785e+00
1999-10-01, -1.63921057e+00
1999-11-01, -1.43604061e+00
1999-12-01, -1.54895736e+00
2000-01-01, -1.45329492e+00
2000-02-01, -1.27656569e+00
2000-03-01, -1.12558397e+00
2000-04-01, -8.16189996e-01
2000-05-01, -1.07405816e+00
2000-06-01, -1.62395190e+00
2000-07-01, -8.98750844e-01
2000-08-01, -3.32097786e-01
2000-09-01, -5.42945570e-01
2000-10-01, -8.28796238e-01
2000-11-01, -1.03084215e+00
2000-12-01, -1.00538610e+00
2001-01-01, -9.05438475e-01
2001-02-01, -8.39043397e-01
2001-03-01, -7.68421309e-01
2001-04-01, -5.26686776e-01
2001-05-01, -5.91541063e-01
2001-06-01, -8.51959665e-01
2001-07-01, -3.54793890e-01
2001-08-01,  8.89740529e-02
2001-09-01, -2.25963673e-01
2001-10-01, -5.17036328e-01
2001-11-01, -4.80803584e-01
2001-12-01, -3.09391313e-01
2002-01-01, -2.60208182e-01
2002-02-01, -3.98489276e-01
2002-03-01, -3.49942104e-01
2002-04-01, -4.32559589e-01
