# mode: 0
# n_modes: 10
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# rotated: False
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,pna_index
1978-09-01,  4.19000468e-01
1978-10-01, -1.19401199e-01
1978-11-01, -1.16732768e+00
1978-12-01, -1.40687159e+00
1979-01-01, -1.47160601e-01
1979-02-01, -2.37117811e+00
1979-03-01, -4.88236876e-02
1979-04-01, -5.62576576e-01
1979-05-01,  6.55340938e-01
1979-06-01, -1.20574249e+00
1979-07-01, -1.99446227e-02
1979-08-01,  9.48429479e-02
1979-09-01,  5.87107687e-01
1979-10-01,  1.07017259e+00
1979-11-01,  2.21407430e-01
1979-12-01, -6.55545103e-01
1980-01-01, -5.43250951e-01
1980-02-01,  2.53548804e+00
1980-03-01, -4.71927282e-01
1980-04-01,  1.35882796e+00
1980-05-01,  7.09158553e-01
1980-06-01, -9.97177141e-01
1980-07-01, -5.10581851e-01
1980-08-01, -2.14559527e-01
1980-09-01, -3.74497463e-01
1980-10-01,  1.54059622e+00
1980-11-01,  1.11041438e+00
1980-12-01,  2.47225111e-01
1981-01-01,  3.30029675e+00
1981-02-01,  1.40461936e-01
1981-03-01,  1.97283931e+00
1981-04-01, -1.05210141e+00
1981-05-01,  4.00740948e-01
1981-06-01,  1.59253679e-01
1981-07-01, -5.25415135e-01
1981-08-01,  5.15430971e-01
1981-09-01,  4.63697539e-01
1981-10-01, -3.47716834e-01
1981-11-01,  1.27729143e+00
1981-12-01,  5.79636268e-01
1982-01-01, -1.95953110e+00
1982-02-01, -1.93880657e+00
1982-03-01, -2.15471948e+00
1982-04-01, -1.82434883e+00
1982-05-01,  1.25975256e-01
1982-06-01,  5.52542752e-01
1982-07-01,  4.60898441e-01
1982-08-01,  4.68374229e-02
1982-09-01,  7.80751923e-02
1982-10-01, -2.00341178e-01
1982-11-01, -9.19297884e-02
1982-12-01,  4.92494860e-01
1983-01-01,  1.70970843e+00
1983-02-01,  2.79168085e+00
1983-03-01,  2.35497347e+00
1983-04-01, -1.51230250e-01
1983-05-01, -4.52862941e-01
1983-06-01,  7.89912506e-01
1983-07-01,  4.72023069e-01
1983-08-01, -3.17104902e-01
1983-09-01, -5.74528035e-01
1983-10-01, -1.22707800e-01
1983-11-01,  2.23788024e+00
1983-12-01, -7.03913376e-01
1984-01-01, -9.37657639e-01
1984-02-01,  7.70976349e-01
1984-03-01,  1.44566202e+00
1984-04-01,  8.76181695e-01
1984-05-01,  1.98138066e-01
1984-06-01,  9.67269214e-03
1984-07-01, -2.18374508e-01
1984-08-01, -7.34142429e-02
1984-09-01,  1.24305803e-02
1984-10-01,  1.19142241e-01
1984-11-01,  8.08198140e-01
1984-12-01, -2.67315461e+00
1985-01-01,  1.76124077e+00
1985-02-01, -2.16811185e+00
1985-03-01, -1.59736753e+00
1985-04-01, -1.03077312e+00
1985-05-01, -2.79770546e-01
1985-06-01,  4.95520006e-01
1985-07-01,  4.40408470e-02
1985-08-01, -2.48667612e-01
1985-09-01, -3.20527956e-01
1985-10-01, -9.82696593e-01
1985-11-01, -1.25534363e+00
1985-12-01,  1.32069560e+00
1986-01-01,  1.34718434e+00
1986-02-01,  1.52562193e+00
1986-03-01, -1.83387565e-01
1986-04-01, -8.05854520e-01
1986-05-01,  1.43271544e-02
1986-06-01,  7.47288457e-02
1986-07-01, -1.97564749e-01
1986-08-01,  2.49106749e-01
1986-09-01, -3.84936491e-01
1986-10-01,  4.84514027e-01
1986-11-01, -1.08507281e+00
1986-12-01,  1.46790345e+00
1987-01-01,  8.46521687e-01
1987-02-01,  1.49032107e+00
1987-03-01,  9.42967241e-01
1987-04-01,  8.89647965e-01
1987-05-01, -6.62801816e-01
1987-06-01,  2.60149456e-01
1987-07-01,  6.01781114e-01
1987-08-01, -1.32313550e-01
1987-09-01,  2.65978565e-01
1987-10-01,  4.34320313e-01
1987-11-01,  7.82040597e-01
1987-12-01,  6.70351175e-01
1988-01-01, -6.67773558e-02
1988-02-01,  4.72250367e-01
1988-03-01,  3.14272407e-01
1988-04-01,  8.06810260e-01
1988-05-01,  1.94238117e-01
1988-06-01,  7.15377993e-01
1988-07-01,  1.00393325e-01
1988-08-01, -2.16526624e-02
1988-09-01, -2.63264152e-01
1988-10-01,  4.39050651e-01
1988-11-01, -2.50881732e-01
1988-12-01, -3.80850069e-01
1989-01-01, -2.18882470e+00
1989-02-01, -3.05098687e+00
1989-03-01, -1.95310767e+00
1989-04-01, -6.30652692e-01
1989-05-01, -1.06346908e+00
1989-06-01, -3.03762522e-02
1989-07-01, -9.13645400e-02
1989-08-01,  4.60800488e-01
1989-09-01, -2.89481925e-01
1989-10-01, -8.07132723e-01
1989-11-01, -1.35302958e+00
1989-12-01,  2.91043683e-01
1990-01-01, -1.31919230e+00
1990-02-01, -2.89647418e+00
1990-03-01, -5.00360691e-01
1990-04-01, -8.93144971e-01
1990-05-01, -3.72324677e-01
1990-06-01, -6.00342933e-01
1990-07-01,  1.50095966e-01
1990-08-01,  2.56740710e-01
1990-09-01,  2.91605739e-01
1990-10-01, -1.04830358e+00
1990-11-01, -2.32025504e+00
1990-12-01, -2.78361862e+00
1991-01-01, -1.88170009e+00
1991-02-01,  8.20377140e-01
1991-03-01, -1.64418346e+00
1991-04-01,  2.81157150e-01
1991-05-01,  3.07697810e-02
1991-06-01, -1.93353841e-01
1991-07-01,  1.91837259e-01
1991-08-01,  3.03087970e-01
1991-09-01,  8.05383855e-01
1991-10-01, -7.93471275e-01
1991-11-01,  4.60139946e-01
1991-12-01, -2.95914559e-01
1992-01-01,  1.70874983e+00
1992-02-01, -1.38996969e-01
1992-03-01,  1.19089755e+00
1992-04-01,  2.74276097e-01
1992-05-01, -4.98883520e-01
1992-06-01,  8.56987444e-01
1992-07-01,  8.15148013e-02
1992-08-01,  4.75030996e-01
1992-09-01, -8.64440066e-01
1992-10-01,  5.71064887e-01
1992-11-01,  5.65592261e-01
1992-12-01, -1.91776978e+00
1993-01-01, -1.18753841e+00
1993-02-01,  8.30916737e-01
1993-03-01,  8.63994814e-01
1993-04-01,  1.64835763e+00
1993-05-01,  1.25921738e+00
1993-06-01,  4.00687262e-01
1993-07-01,  1.91923037e-01
1993-08-01,  2.89857604e-01
1993-09-01, -6.45785050e-01
1993-10-01, -4.01568346e-02
1993-11-01, -1.51894804e+00
1993-12-01,  7.94301326e-01
1994-01-01, -8.64829575e-01
1994-02-01, -2.06375995e+00
1994-03-01, -1.74893447e-01
1994-04-01, -2.79569114e-02
1994-05-01,  5.69878677e-01
1994-06-01, -6.14481439e-01
1994-07-01, -7.59601282e-02
1994-08-01, -1.96170659e-01
1994-09-01,  1.15305963e-01
1994-10-01,  3.92295136e-01
1994-11-01, -2.42389094e+00
1994-12-01,  9.54753322e-01
1995-01-01,  1.76870646e+00
1995-02-01, -6.44541893e-02
1995-03-01, -7.95539177e-02
1995-04-01,  6.53192122e-01
1995-05-01,  4.18485607e-01
1995-06-01,  8.73809742e-01
1995-07-01, -1.21942521e-01
1995-08-01, -3.70114461e-01
1995-09-01,  5.59386425e-01
1995-10-01, -4.84376367e-03
1995-11-01, -7.17993431e-01
1995-12-01,  1.77497034e+00
1996-01-01, -1.53122920e+00
1996-02-01, -3.12195959e-01
1996-03-01, -7.67155011e-01
1996-04-01,  1.46246024e+00
1996-05-01, -3.29011694e-01
1996-06-01, -3.41047726e-01
1996-07-01,  9.15207627e-03
1996-08-01, -4.61336695e-01
1996-09-01,  5.01722177e-01
1996-10-01, -3.16809251e-01
1996-11-01,  1.52820967e-01
1996-12-01, -7.61762344e-01
1997-01-01,  6.09537725e-01
1997-02-01, -1.56379796e-01
1997-03-01, -1.24892842e+00
1997-04-01,  1.05914107e+00
1997-05-01,  2.05353847e-01
1997-06-01,  6.58942750e-01
