# mode: 0
# n_modes: 20
# low_latitude_boundary:   2.00000000e+01
# index_normalization:   1.53412085e+03
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,ao_index
1981-11-01, -8.64839892e-01
1981-12-01, -1.37175909e+00
1982-01-01,  4.11050280e-02
1982-02-01,  1.41603425e+00
1982-03-01,  1.64460963e+00
1982-04-01,  1.65933008e+00
1982-05-01,  1.57955721e-01
1982-06-01, -8.46249752e-01
1982-07-01, -5.88077480e-02
1982-08-01,  1.47401490e-01
1982-09-01,  7.96460633e-01
1982-10-01,  2.35656920e-01
1982-11-01,  7.27419964e-01
1982-12-01,  3.87185396e-01
1983-01-01,  5.70880662e-01
1983-02-01, -2.20515680e+00
1983-03-01, -1.14330928e+00
1983-04-01, -3.51232234e-01
1983-05-01, -1.65348944e-02
1983-06-01,  4.73786704e-02
1983-07-01, -1.26897679e-01
1983-08-01,  7.00628332e-01
1983-09-01,  5.35271268e-01
1983-10-01,  6.48643783e-01
1983-11-01, -1.29205239e+00
1983-12-01,  6.83154818e-02
1984-01-01,  9.24131493e-01
1984-02-01, -3.38180995e-01
1984-03-01, -1.90936933e+00
1984-04-01,  3.15839285e-02
1984-05-01,  2.06082805e-01
1984-06-01, -1.93271789e-01
1984-07-01, -1.63348610e-01
1984-08-01,  2.11746544e-01
1984-09-01, -3.33851327e-01
1984-10-01, -3.70482574e-01
1984-11-01, -2.58137184e-01
1984-12-01,  1.81883029e+00
1985-01-01, -3.04552367e+00
1985-02-01, -6.65683868e-02
1985-03-01,  1.24747375e+00
1985-04-01,  1.08819919e+00
1985-05-01,  1.27487490e-01
1985-06-01, -7.90887772e-01
1985-07-01, -1.29457326e-01
1985-08-01, -4.13965315e-03
1985-09-01,  8.19196246e-03
1985-10-01,  9.72160613e-01
1985-11-01, -8.47876802e-01
1985-12-01, -2.17497194e+00
1986-01-01, -7.90018005e-01
1986-02-01, -2.45642145e+00
1986-03-01,  2.07984758e+00
1986-04-01,  3.10565045e-01
1986-05-01,  4.75034007e-01
1986-06-01,  7.71669563e-01
1986-07-01,  2.85120330e-01
1986-08-01, -4.02178380e-01
1986-09-01, -2.05591351e-02
1986-10-01,  9.95743353e-01
1986-11-01,  1.13170352e+00
1986-12-01,  8.96485560e-02
1987-01-01, -1.01340687e+00
1987-02-01, -1.32606813e+00
1987-03-01, -9.86744916e-01
1987-04-01,  1.93066082e-01
1987-05-01,  3.50303464e-01
1987-06-01, -6.58527364e-01
1987-07-01, -6.79749501e-01
1987-08-01, -7.85068227e-01
1987-09-01,  6.95233965e-01
1987-10-01,  2.42380840e-02
1987-11-01, -2.88488677e-01
1987-12-01, -8.42405979e-01
1988-01-01,  4.41510110e-01
1988-02-01, -1.39271128e+00
1988-03-01, -7.36170780e-01
1988-04-01, -4.64804575e-01
1988-05-01, -6.33215513e-01
1988-06-01, -2.29476058e-01
1988-07-01, -1.50156835e-01
1988-08-01,  3.06753336e-01
1988-09-01,  6.61742379e-01
1988-10-01, -3.75890183e-01
1988-11-01, -2.76704856e-01
1988-12-01,  1.02323669e+00
1989-01-01,  3.50806592e+00
1989-02-01,  2.88889389e+00
1989-03-01,  2.28227296e+00
1989-04-01,  3.84068107e-01
1989-05-01,  9.65494463e-01
1989-06-01,  1.65071586e-01
1989-07-01,  6.72329083e-01
1989-08-01, -6.63984570e-02
1989-09-01,  7.20576673e-01
1989-10-01,  8.73490400e-01
1989-11-01,  7.65501287e-01
1989-12-01, -7.19267896e-01
1990-01-01,  1.06639600e+00
1990-02-01,  3.46807816e+00
1990-03-01,  2.14306761e+00
1990-04-01,  1.46267752e+00
1990-05-01,  2.96516269e-01
1990-06-01,  3.69941127e-01
1990-07-01,  6.44555991e-02
1990-08-01, -4.87698798e-01
1990-09-01, -2.42315234e-01
1990-10-01,  1.35398371e+00
1990-11-01,  1.27204587e+00
1990-12-01,  2.09603234e+00
1991-01-01,  1.48455734e+00
1991-02-01, -4.47714587e-01
1991-03-01,  5.58386181e-01
1991-04-01,  6.64691670e-01
1991-05-01,  8.85762267e-02
1991-06-01, -2.40292561e-02
1991-07-01, -3.07382361e-01
1991-08-01,  5.41443129e-01
1991-09-01, -7.49374263e-01
1991-10-01,  1.23617482e-01
1991-11-01,  2.39240636e-02
1991-12-01,  1.62865999e+00
1992-01-01,  4.52571602e-02
1992-02-01,  1.19342238e+00
1992-03-01,  5.23321632e-02
1992-04-01,  1.99083953e-01
1992-05-01,  1.93975764e+00
1992-06-01, -2.78203248e-01
1992-07-01,  2.72576937e-01
1992-08-01,  5.89608598e-01
1992-09-01,  3.81864921e-01
1992-10-01, -8.10751948e-01
1992-11-01,  7.12488001e-01
1992-12-01,  2.04211963e+00
1993-01-01,  3.18440556e+00
1993-02-01, -2.69545645e-01
1993-03-01,  9.27135558e-01
1993-04-01, -7.31626683e-01
1993-05-01, -1.59600833e+00
1993-06-01, -6.97603945e-01
1993-07-01, -7.40380543e-01
1993-08-01, -5.98920179e-01
1993-09-01,  5.64134808e-02
1993-10-01, -5.01080374e-01
1993-11-01,  2.28922357e+00
1993-12-01, -8.34338747e-02
1994-01-01, -1.78498019e-01
1994-02-01,  5.47026750e-01
1994-03-01,  1.41956105e+00
1994-04-01, -4.29106395e-02
1994-05-01, -2.47755311e-01
1994-06-01,  1.22266453e+00
1994-07-01,  7.29987444e-01
1994-08-01,  5.67272179e-01
1994-09-01,  1.51442746e-01
1994-10-01, -2.27812019e-01
1994-11-01,  2.37781093e+00
1994-12-01,  7.66610333e-01
1995-01-01, -7.19205523e-01
1995-02-01,  4.03348089e-01
1995-03-01,  2.84775601e-01
1995-04-01, -1.93108853e+00
1995-05-01, -1.01414731e+00
1995-06-01, -4.65743673e-01
1995-07-01, -2.41790802e-01
1995-08-01,  6.10882013e-02
1995-09-01, -7.94509388e-01
1995-10-01,  3.33140302e-01
1995-11-01, -1.28604081e+00
1995-12-01, -1.52601571e+00
1996-01-01, -4.00802775e-02
1996-02-01, -2.36142106e-01
1996-03-01, -8.65851799e-01
1996-04-01, -1.76001552e+00
1996-05-01,  8.08960662e-02
1996-06-01,  6.46662468e-01
1996-07-01,  4.76826715e-01
1996-08-01,  4.57541399e-01
1996-09-01, -9.72843242e-01
1996-10-01,  7.94608713e-02
1996-11-01, -1.00153875e+00
1996-12-01, -1.19719341e+00
1997-01-01,  5.43200205e-02
1997-02-01,  1.46313054e+00
1997-03-01,  8.20973383e-01
1997-04-01, -7.95420510e-01
1997-05-01, -9.16698061e-01
1997-06-01, -1.10534077e+00
1997-07-01, -1.82820691e-01
1997-08-01,  2.82887365e-01
1997-09-01, -3.68705209e-01
1997-10-01, -1.23216876e+00
1997-11-01, -2.80609502e-01
1997-12-01, -1.64231851e-02
1998-01-01, -1.69408794e+00
1998-02-01, -2.39623230e-01
1998-03-01, -2.77922199e-01
1998-04-01, -7.51309972e-02
1998-05-01,  1.93273864e-01
1998-06-01, -7.62736759e-01
1998-07-01, -4.97648130e-01
1998-08-01,  1.51232332e-01
1998-09-01, -4.58583496e-01
1998-10-01,  2.89286338e-02
1998-11-01, -1.43326841e+00
1998-12-01,  7.50222527e-01
1999-01-01,  7.27874024e-01
1999-02-01, -7.20703880e-01
1999-03-01, -1.19681573e+00
1999-04-01,  1.93597360e-01
1999-05-01,  2.34182920e-01
1999-06-01,  7.13737310e-01
1999-07-01,  3.17422975e-01
1999-08-01, -7.15074112e-01
1999-09-01,  9.53716619e-02
1999-10-01,  1.70359434e-01
1999-11-01,  6.57942211e-01
1999-12-01,  2.32735602e-01
2000-01-01,  1.25983878e+00
2000-02-01,  5.37508427e-03
2000-03-01, -1.34974692e+00
2000-04-01, -2.83386870e-01
2000-05-01,  9.55417246e-01
2000-06-01,  7.89029410e-01
2000-07-01, -4.96039082e-01
2000-08-01, -1.96290616e-01
2000-09-01,  1.00642456e+00
2000-10-01,  3.71944943e-01
2000-11-01, -1.57340077e+00
2000-12-01, -2.32318901e+00
2001-01-01, -8.47965342e-01
2001-02-01, -4.40154849e-01
2001-03-01, -1.18458360e+00
2001-04-01,  1.08333675e+00
2001-05-01,  2.77141819e-02
2001-06-01,  5.93274452e-02
2001-07-01,  2.75252718e-01
2001-08-01,  3.30501383e-01
2001-09-01, -6.27067191e-01
2001-10-01,  6.55994567e-01
2001-11-01, -9.49217583e-02
2001-12-01, -1.79233431e+00
2002-01-01,  1.34381474e+00
2002-02-01,  1.14613242e+00
2002-03-01,  4.56994085e-01
2002-04-01,  2.16382754e+00
2002-05-01,  5.71314371e-01
2002-06-01,  2.11399126e-01
2002-07-01,  3.53608036e-01
2002-08-01, -4.97289120e-01
2002-09-01, -1.78467990e-03
2002-10-01, -1.75487969e+00
2002-11-01, -1.68802914e+00
2002-12-01, -1.55179784e+00
2003-01-01, -1.40257194e+00
2003-02-01,  7.30239113e-01
2003-03-01,  8.08795392e-01
2003-04-01,  6.14137186e-01
2003-05-01,  8.60361782e-01
2003-06-01,  1.67084333e-01
2003-07-01,  2.73672727e-01
2003-08-01, -7.41412769e-01
2003-09-01, -2.02524482e-01
2003-10-01, -1.66652071e+00
2003-11-01,  1.45013409e+00
2003-12-01, -4.35709259e-01
2004-01-01, -1.32318172e+00
2004-02-01, -1.70975855e+00
2004-03-01,  7.38103919e-01
2004-04-01, -6.52422268e-01
2004-05-01,  2.00542833e-01
2004-06-01, -2.21930944e-01
2004-07-01,  8.90013708e-02
2004-08-01, -9.19411968e-01
2004-09-01,  7.63583759e-01
2004-10-01, -3.88963628e-01
2004-11-01,  3.04505681e-01
2004-12-01,  1.27850507e+00
2005-01-01,  3.68152641e-02
2005-02-01, -1.76965174e+00
2005-03-01, -1.80709971e+00
2005-04-01, -4.62308310e-01
2005-05-01, -1.44508945e+00
2005-06-01, -3.02247063e-01
2005-07-01, -4.56506432e-02
2005-08-01, -1.17823230e-02
2005-09-01,  8.69765019e-01
2005-10-01,  8.83011541e-02
2005-11-01, -3.97892662e-01
2005-12-01, -2.21145881e+00
2006-01-01,  3.43585539e-01
2006-02-01, -7.40464555e-01
2006-03-01, -1.42588890e+00
2006-04-01,  2.60630712e-01
2006-05-01, -7.24865171e-02
2006-06-01,  5.78729430e-01
2006-07-01,  2.89382209e-01
2006-08-01, -2.82670812e-01
2006-09-01,  4.04467405e-02
2006-10-01, -8.46632059e-01
2006-11-01,  5.76207353e-01
2006-12-01,  7.31116612e-01
2007-01-01,  7.12888662e-01
2007-02-01, -1.07125114e+00
2007-03-01,  1.15659708e+00
2007-04-01, -7.17383816e-01
2007-05-01,  8.05427413e-01
2007-06-01, -7.94383151e-01
2007-07-01, -8.36568923e-01
2007-08-01, -5.65056459e-01
2007-09-01,  3.55606538e-01
2007-10-01,  1.57859972e-01
2007-11-01, -8.70098770e-01
2007-12-01,  7.85969368e-01
2008-01-01,  1.33664654e+00
2008-02-01,  6.66682088e-01
2008-03-01,  4.15472907e-01
2008-04-01,  3.77663248e-01
2008-05-01, -1.28807758e+00
2008-06-01,  4.55951619e-02
2008-07-01, -1.73105741e-01
2008-08-01, -8.20356785e-01
2008-09-01, -1.78805144e-02
2008-10-01,  7.43979383e-01
2008-11-01, -8.83986553e-01
2008-12-01,  1.18976303e+00
2009-01-01,  3.88152436e-01
2009-02-01, -8.38331545e-02
2009-03-01,  9.08392767e-01
2009-04-01,  1.14014771e+00
2009-05-01,  1.30113557e+00
2009-06-01, -9.28802059e-01
2009-07-01, -1.24580091e+00
2009-08-01, -8.96356477e-04
2009-09-01,  1.54771628e-01
2009-10-01, -1.46970837e+00
2009-11-01,  5.61146866e-01
2009-12-01, -3.18564043e+00
2010-01-01, -2.24457416e+00
2010-02-01, -3.91278957e+00
2010-03-01, -1.27007839e+00
2010-04-01, -8.64833422e-01
2010-05-01, -1.22103045e+00
2010-06-01, -1.08135351e-01
2010-07-01,  5.89685055e-01
2010-08-01, -6.36272531e-01
2010-09-01, -5.49312597e-01
2010-10-01, -1.00900622e+00
2010-11-01, -5.80833222e-01
2010-12-01, -2.33986946e+00
2011-01-01, -1.73427254e+00
2011-02-01,  2.27936943e+00
2011-03-01,  3.94601689e-01
2011-04-01,  2.25636239e+00
2011-05-01, -7.13278666e-02
2011-06-01, -7.17470010e-01
2011-07-01, -1.53984652e-01
2011-08-01, -8.34571058e-01
2011-09-01,  4.42654262e-01
2011-10-01,  5.22079348e-01
2011-11-01,  1.94617377e+00
2011-12-01,  1.36851888e+00
2012-01-01, -1.41795161e-01
2012-02-01, -7.87246263e-01
2012-03-01,  1.13754504e+00
2012-04-01, -6.61664400e-01
2012-05-01, -9.75867702e-02
2012-06-01, -1.04767331e+00
2012-07-01, -9.49089568e-02
2012-08-01, -2.06585070e-01
2012-09-01,  8.97956419e-03
2012-10-01, -1.38666814e+00
2012-11-01, -1.41229890e-01
2012-12-01, -8.73953353e-01
2013-01-01, -2.98104326e-01
2013-02-01, -7.18185629e-01
2013-03-01, -2.42384992e+00
2013-04-01,  4.84202873e-01
2013-05-01,  6.30290905e-01
2013-06-01,  6.30987176e-01
2013-07-01,  3.34390145e-01
2013-08-01,  6.55540995e-02
2013-09-01, -6.09798703e-02
2013-10-01,  9.33176622e-02
2013-11-01,  1.59982327e+00
2013-12-01,  1.57176056e+00
2014-01-01, -8.47509892e-01
2014-02-01,  1.01491312e-01
2014-03-01,  5.54523970e-01
2014-04-01,  9.08176253e-01
2014-05-01,  4.01538415e-01
2014-06-01, -1.85704913e-01
2014-07-01, -2.75677306e-01
2014-08-01, -1.02138255e+00
2014-09-01,  5.95782397e-01
2014-10-01, -6.81274120e-01
2014-11-01, -2.11482022e-01
2014-12-01, -4.48944405e-01
2015-01-01,  9.99706985e-01
2015-02-01,  8.47546149e-01
2015-03-01,  1.66802217e+00
2015-04-01,  8.43638036e-01
2015-05-01,  7.29029227e-01
2015-06-01,  1.96987661e-01
2015-07-01, -8.11780101e-01
2015-08-01, -1.14519182e-01
2015-09-01,  4.71332800e-01
2015-10-01, -1.73628461e-02
2015-11-01,  1.84738497e+00
2015-12-01,  1.47076576e+00
2016-01-01, -2.32804715e+00
